"argument ID","Textstelle","Auffälligkeit
","Relevanz [1 – 3]"
"c67482ba-2019-04-18T13:32:05Z-00000-000","My opponent forfeited every round... the idea of winning by default, but here we are.Tule:","Unnützliche Einleitung,Rest ist okay",2
"c67482ba-2019-04-18T13:32:05Z-00001-000","GOOD","ist gut, wie es ist",3
"c67482ba-2019-04-18T13:32:05Z-00002-000","… of education [1,2,3] … is a necessary. [1] tinyurl.com/z786mww[2] tinyurl.com/jafrt2n[3] tinyurl.com/zbkwkz6","Eckige Klammern,URLs,rest ist okay",2
"c67482ba-2019-04-18T13:32:05Z-00003-000","GOOD","ist gut, wie es ist",3
"4d3d4471-2019-04-18T11:45:01Z-00000-000","… importance==================================To respond … '[1.] https://www.bmus.org... ","Mehrere Gleichzeichen,URLs,Rest ist okay",2
"4d3d4471-2019-04-18T11:45:01Z-00001-000"," Aussie! Aussie! Aussie! Oi! Oi! Oi!","Inhaltslos,Rest ist okay",2
"4d3d4471-2019-04-18T11:45:01Z-00002-000","I accept.","zu kurz",1
"4d3d4471-2019-04-18T11:45:01Z-00003-000","Hello opponent please t … show you are not a troll.","Unnützliche Einleitung,Rest ist okay",2
"fbe6ad2-2019-04-18T11:12:36Z-00000-000","Alright then.","zu kurz",1
"fbe6ad2-2019-04-18T11:12:36Z-00001-000","You paid absolutely no attention whatsoever to the verses presented","beleidigend",1
"fbe6ad2-2019-04-18T11:12:36Z-00002-000","A forfeit? Alright. Unexpected.","zu kurz",1
"fbe6ad2-2019-04-18T11:12:36Z-00003-000","* Paragraph 1 is simply you writing 67 words in … feel no further need to address it. * ","Unnützliche Einleitung,Rest ist okay",2
"fbe6ad2-2019-04-18T11:12:36Z-00004-000","don”t","Anführungszeichen statt Akzent,rest ist okay",2
"fbe6ad2-2019-04-18T11:12:36Z-00005-000","Here I am again, Knowing full well that … respectively as I can. … explaining it https://www. Biblestudytools. Com/commentaries/gills-exposition-of-the-bible/matthew-19-12. ...explaining it https://www. Biblestudytools. Com/commentaries/gills-exposition-of-the-bible/matthew-19-12.","Unnützliche Einleitung,URLs,Rest ist okay",2
"fbe6ad2-2019-04-18T11:12:36Z-00006-000","2 Tiimothy 3:16 ""All scripture is … Ok ready - set - GO! ","beleidigend,rest ist okay",2
"3e59690a-2019-04-18T16:49:22Z-00003-000","Aight, les go. Your theme shall be peace.","zu kurz",1
"3e59690a-2019-04-18T16:49:22Z-00004-000","kompletter Text","kein Argument",1
"3e59690a-2019-04-18T16:49:22Z-00000-000","That was disappointing. Oh well. Vote for me for not forfeiting. :)","zu kurz",1
"3e59690a-2019-04-18T16:49:22Z-00001-000","kompletter Text","kein Argument",1
"3e59690a-2019-04-18T16:49:22Z-00002-000","kompletter Text","kein Argument",1
"c3e9c4a6-2019-04-18T14:36:11Z-00000-000","… fallacy [1], in … speaker [2].Rebuttals …  Vote CON!Sources used[1] https://yourlogicalfallacyis.com...[2] https://en.wikipedia.org…","Eckige Klammern,URLs,rest ist okay",2
"c3e9c4a6-2019-04-18T14:36:11Z-00001-000","Words to Begin the ... the confusion. … (Source: http://www.debate.org…) (Example: http://bit…. an example.)) (Example: http://bit.ly... … an example.)) ... -- NOTES -- … touch them.","Unnützliche Einleitung,sinnlose Note ,URLs,Rest ist okay",2
"c3e9c4a6-2019-04-18T14:36:11Z-00002-000","kompletter Text","kein Argument",1
"c3e9c4a6-2019-04-18T14:36:11Z-00003-000","Thank you, … debater win! ...troublesome [1].BURDEN…","Unnützliche Einleitung,Eckige Klammern,Rest ist okay",2
"c3e9c4a6-2019-04-18T14:36:11Z-00004-000","GOOD","ist gut, wie es ist",3
"f25e63e3-2019-04-18T13:24:15Z-00000-000","Cheers babe. Vote Pro.","zu kurz",1
"f25e63e3-2019-04-18T13:24:15Z-00001-000","kompletter Text","kein Argument",1
"f25e63e3-2019-04-18T13:24:15Z-00003-000","GOOD","ist gut, wie es ist",3
"d6517702-2019-04-18T12:36:24Z-00000-000","Only 500 words","Inhaltslos,Rest ist okay",2
"d6517702-2019-04-18T12:36:24Z-00001-000","Science is the best!","zu kurz",1
"ede05d3d-2019-04-18T15:09:31Z-00000-000","Since my opponent … unopposed. In addition,","Unnützliche Einleitung,Rest ist okay",2
"ede05d3d-2019-04-18T15:09:31Z-00001-000","kompletter Text","kein Argument",1
"ede05d3d-2019-04-18T15:09:31Z-00002-000","GOOD","ist gut, wie es ist",3
"ede05d3d-2019-04-18T15:09:31Z-00003-000","GOOD","ist gut, wie es ist",3
"9bb25fb0-2019-04-18T16:45:11Z-00000-000","You appear … progress.","beleidigend",1
"9bb25fb0-2019-04-18T16:45:11Z-00001-000","kompletter Text","kein Argument",1
"9bb25fb0-2019-04-18T16:45:11Z-00002-000"," http://www.defense.gov...http://www.nytimes.com…","URLs,rest ist okay",2
"9bb25fb0-2019-04-18T16:45:11Z-00003-000","GOOD","ist gut, wie es ist",3
"9bb25fb0-2019-04-18T16:45:11Z-00004-000","… Haiti....... Countries … giving them. ==================================================================================In summary ...as well: http://en.wikipedia.org…","Mehrere Gleichzeichen,mehrere punkte statt ein punkt,URLs,Rest ist okay",2
"9bb25fb0-2019-04-18T16:45:11Z-00005-000","GOOD","ist gut, wie es ist",3
"f4a9d491-2019-04-18T18:51:26Z-00000-000","(See explanation in comments before reading.) ","Unnützliche Einleitung,Rest ist okay",2
"f4a9d491-2019-04-18T18:51:26Z-00001-000","GOOD","ist gut, wie es ist",3
"f4a9d491-2019-04-18T18:51:26Z-00002-000","Thank you … done this.","Unnützliche Einleitung, Rest ist okay",2
"f4a9d491-2019-04-18T18:51:26Z-00003-000","GOOD","ist gut, wie es ist",3
"f4a9d491-2019-04-18T18:51:26Z-00004-000","GOOD","ist gut, wie es ist",3
"f4a9d491-2019-04-18T18:51:26Z-00005-000","GOOD","ist gut, wie es ist",3
"f4a9d491-2019-04-18T18:51:26Z-00006-000","GOOD","ist gut, wie es ist",3
"f4a9d491-2019-04-18T18:51:26Z-00007-000","GOOD","ist gut, wie es ist",3
"f4a9d491-2019-04-18T18:51:26Z-00008-000","GOOD","ist gut, wie es ist",3
"f4a9d491-2019-04-18T18:51:26Z-00009-000","GOOD","ist gut, wie es ist",3
"806480f-2019-04-18T20:02:33Z-00001-000","GOOD","ist gut, wie es ist",3
"806480f-2019-04-18T20:02:33Z-00002-000","GOOD","ist gut, wie es ist",3
"806480f-2019-04-18T20:02:33Z-00003-000","GOOD","ist gut, wie es ist",3
"806480f-2019-04-18T20:02:33Z-00000-000","GOOD","ist gut, wie es ist",3
"bd7e783e-2019-04-18T16:33:01Z-00007-000","there""s Wouldn""t you""re","Anführungszeichen statt Akzent,rest ist okay",2
"bd7e783e-2019-04-18T16:33:01Z-00000-000","aren""t can""t","Anführungszeichen statt Akzent,rest ist okay",2
"bd7e783e-2019-04-18T16:33:01Z-00001-000","Wouldn't""t","Falsch geschrieben",2
